,business,highlights
29,3xykzfVY2PbdjKCRDLdzTQ,"[('sushi', 0.5065217391304346), ('food', 0.4521739130434782), ('service', 0.35217391304347834), ('time', 0.225)]"
30,hyXNS3tSmi6njhBjgo8eGw,"[('sushi', 0.82), ('food', 0.44000000000000006), ('fresh', 0.36), ('delicious', 0.34), ('us', 0.25999999999999995)]"
31,ZQBn4sRfRlB97bXf-bF-Kg,"[('food', 0.5662337662337662), ('service', 0.4), ('happy', 0.2311688311688312), ('menu', 0.21558441558441555), ('hour', 0.2051948051948052)]"
32,ghVhlFpNhfBwWDFGSlt2JA,"[('sushi', 0.7097435897435898), ('rice', 0.3476923076923077), ('fish', 0.3456410256410256), ('service', 0.3415384615384615), ('food', 0.31487179487179484), ('ayce', 0.2523076923076923)]"
33,o6jHRzuoTDCt6xiJA3VwUQ,"[('sushi', 0.5733333333333333), ('fresh', 0.2986666666666667), ('food', 0.26133333333333336), ('friendly', 0.256), ('roll', 0.2213333333333333)]"
34,OK0ba4X5seibH8oMWh4bhw,"[('sushi', 0.7526652452025586), ('service', 0.33390191897654586), ('roll', 0.2801705756929637)]"
35,67X6JB3kvZ2B_p8pucgNXA,"[('happy', 0.4216666666666667), ('hour', 0.4149999999999999), ('food', 0.3533333333333334), ('sushi', 0.35333333333333333), ('service', 0.285), ('kona', 0.18833333333333332)]"
36,BcW7Z9lPmOB_8eS2lEuOqQ,"[('food', 0.5527675276752767), ('chef', 0.2907749077490775), ('vegas', 0.27380073800738003), ('time', 0.2132841328413284)]"
37,JyxHvtj-syke7m9rbza7mA,"[('sushi', 0.6689655172413793), ('eat', 0.3437386569872959), ('service', 0.2791288566243194), ('ayce', 0.27803992740471867), ('food', 0.2482758620689655), ('wait', 0.22794918330308528)]"
38,eWer42jEQGG1o8mNQUk4Kg,"[('food', 0.568), ('hibachi', 0.488), ('sushi', 0.4159999999999999), ('saga', 0.368), ('service', 0.36), ('ive', 0.168)]"
39,ihTl21FfAYXzGoM-Gu8U3A,"[('sushi', 0.7629629629629628), ('cleveland', 0.37407407407407406), ('food', 0.3333333333333333), ('fresh', 0.3296296296296296), ('japanese', 0.29629629629629634)]"
40,LWgaRojEN8a-V6yxORo7yQ,"[('poke', 0.5690476190476191), ('fresh', 0.33809523809523806), ('bowl', 0.3047619047619048), ('food', 0.3), ('friendly', 0.2928571428571428), ('get', 0.23095238095238094), ('free', 0.19047619047619047)]"
41,bupMXFUaZfranBLdaVcRww,"[('sushi', 0.740952380952381), ('fresh', 0.28190476190476194), ('cleveland', 0.260952380952381), ('ginko', 0.2533333333333333), ('food', 0.24380952380952378)]"
42,0xfVubbU3z8O2NcuEYSQNg,"[('sushi', 0.625), ('happy', 0.3634615384615384), ('hour', 0.35961538461538456), ('service', 0.3192307692307692), ('food', 0.2576923076923077), ('roll', 0.225)]"
43,nrahyQyopCtajDqUtVVVfA,"[('sushi', 0.6500000000000001), ('service', 0.3235294117647059), ('rolls', 0.29411764705882354), ('like', 0.23529411764705882)]"
44,nrOxXGd3Vx6iz5xuIJT8cw,"[('sushi', 0.5636363636363637), ('fresh', 0.49090909090909085), ('sashimi', 0.32727272727272727), ('lunch', 0.30303030303030304)]"
45,pyqnGlIfP9Zw8LLxBjyAiA,"[('food', 0.40564263322884014), ('nobu', 0.3523510971786834), ('service', 0.3442006269592477), ('sushi', 0.32413793103448274), ('menu', 0.22884012539184956)]"
46,qwlsGR-pJb6xMWJBqiNIQw,"[('lunch', 0.68), ('fresh', 0.48), ('food', 0.48), ('court', 0.32), ('sashimi', 0.32), ('unagi', 0.32), ('chirashi', 0.16), ('one', 0.16)]"
47,z_46RY-L3vcMrH3-wxCp9w,"[('sushi', 0.7022727272727274), ('service', 0.4409090909090908), ('roll', 0.225), ('choo', 0.13636363636363635)]"
48,DkZuVzYuylBanEsWK7mNGw,"[('sushi', 0.6483582089552239), ('service', 0.30388059701492537), ('fresh', 0.28776119402985073), ('fish', 0.24238805970149255), ('food', 0.2417910447761194)]"
49,#NAME?,"[('sushi', 0.709433962264151), ('belt', 0.2716981132075471), ('food', 0.2578616352201258), ('service', 0.25031446540880503), ('fresh', 0.21635220125786164)]"
50,hAApwo0DNl0TiHX9J-u-eQ,"[('sushi', 0.7783783783783784), ('roll', 0.2918918918918919), ('price', 0.22702702702702707), ('fresh', 0.22162162162162163)]"
51,Lzr34VkDJQ6l8oWq9MptAA,"[('sushi', 0.6074074074074074), ('service', 0.32592592592592595), ('food', 0.26666666666666666), ('price', 0.23703703703703702), ('lunch', 0.22222222222222218), ('eat', 0.2)]"
52,H_yoEB8N8CeABPuLMFWEzQ,"[('sushi', 0.7304347826086957), ('happy', 0.26608695652173914), ('rolls', 0.26608695652173914), ('roll', 0.2382608695652174)]"
